Algorithm Name,Solution,Env Size,Objective Function,Iterations,Time
simulated_annealing,"[9, 4, 1, 3, 0, 10, 7, 4, 6, 11, 2, 5]",12,1,1000,0.04448819160461426
simulated_annealing,"[7, 0, 11, 9, 4, 1, 3, 8, 10, 2, 0, 5]",12,1,1000,0.05865883827209473
simulated_annealing,"[10, 4, 7, 11, 3, 1, 6, 9, 0, 2, 5, 8]",12,0,918,0.046355247497558594
simulated_annealing,"[1, 6, 4, 11, 8, 5, 2, 10, 3, 0, 7, 9]",12,1,1000,0.049031972885131836
simulated_annealing,"[7, 4, 11, 1, 8, 5, 0, 2, 9, 11, 6, 10]",12,1,1000,0.045334815979003906
simulated_annealing,"[3, 0, 6, 9, 11, 2, 8, 2, 5, 1, 10, 7]",12,2,1000,0.04458022117614746
simulated_annealing,"[8, 10, 3, 2, 6, 1, 9, 11, 5, 0, 4, 11]",12,2,1000,0.06000065803527832
simulated_annealing,"[11, 7, 4, 1, 5, 8, 10, 0, 2, 5, 9, 6]",12,1,1000,0.06302952766418457
simulated_annealing,"[10, 2, 9, 1, 8, 5, 3, 0, 7, 11, 4, 6]",12,1,1000,0.049001216888427734
simulated_annealing,"[6, 9, 1, 4, 0, 9, 11, 2, 10, 7, 3, 8]",12,1,1000,0.05437636375427246
simulated_annealing,"[5, 3, 7, 11, 4, 8, 10, 0, 2, 6, 9, 1]",12,1,1000,0.05505490303039551
simulated_annealing,"[11, 4, 7, 3, 6, 2, 10, 8, 0, 5, 9, 1]",12,0,918,0.06712484359741211
simulated_annealing,"[11, 4, 4, 7, 0, 3, 1, 6, 9, 9, 2, 8]",12,2,1000,0.043955087661743164
simulated_annealing,"[3, 8, 2, 4, 10, 7, 11, 3, 0, 6, 1, 5]",12,1,1000,0.04565787315368652
simulated_annealing,"[10, 2, 4, 1, 3, 9, 6, 4, 11, 0, 5, 7]",12,1,1000,0.05110979080200195
simulated_annealing,"[1, 9, 0, 2, 7, 10, 3, 11, 8, 11, 4, 6]",12,1,1000,0.05151724815368652
simulated_annealing,"[9, 7, 4, 11, 1, 10, 5, 0, 2, 10, 8, 3]",12,2,1000,0.06721043586730957
simulated_annealing,"[4, 7, 0, 9, 6, 1, 11, 8, 5, 2, 10, 3]",12,1,1000,0.04646563529968262
simulated_annealing,"[4, 10, 8, 5, 3, 1, 11, 2, 0, 6, 3, 11]",12,3,1000,0.05901026725769043
simulated_annealing,"[6, 4, 11, 1, 8, 10, 3, 9, 2, 5, 7, 0]",12,1,1000,0.0452876091003418
simulated_annealing,"[7, 9, 11, 6, 0, 3, 10, 4, 2, 8, 5, 1]",12,1,1000,0.041998863220214844
simulated_annealing,"[0, 7, 10, 1, 6, 8, 11, 11, 3, 5, 9, 4]",12,1,1000,0.04488492012023926
simulated_annealing,"[2, 10, 3, 6, 8, 1, 11, 0, 0, 7, 4, 9]",12,2,1000,0.04599738121032715
simulated_annealing,"[5, 10, 6, 4, 2, 11, 8, 6, 1, 3, 0, 7]",12,1,1000,0.04625701904296875
simulated_annealing,"[3, 9, 0, 8, 5, 11, 6, 1, 10, 4, 9, 2]",12,2,1000,0.048050642013549805
simulated_annealing,"[7, 4, 10, 1, 6, 11, 2, 8, 3, 0, 9, 3]",12,1,1000,0.045989990234375
